,Cue,DCI
0,hlavním městě,0.4757
1,se v,0.4544
2,se z,0.4482
3,křeče je,0.4408
4,v a,0.4369
5,a se,0.4369
6,V hlavním,0.4369
7,z je,0.4369
8,v roce,0.4311
9,v na,0.4307
10,v se,0.426
11,z na,0.4238
12,v městě,0.4238
13,V městě,0.4238
14,Když se,0.4238
15,Když objeví,0.4238
16,Když křeče,0.4238
17,Když z,0.4238
18,"Když přehřátí,",0.4238
19,se objeví,0.4238
20,se křeče,0.4238
21,"se přehřátí,",0.4238
22,se je,0.4238
23,objeví křeče,0.4238
24,objeví z,0.4238
25,"objeví přehřátí,",0.4238
26,objeví je,0.4238
27,křeče z,0.4238
28,"křeče přehřátí,",0.4238
29,"z přehřátí,",0.4238
30,"přehřátí, je",0.4238
31,Bühler Motor,0.4238
32,a v,0.4173
33,V se,0.4153
34,na na,0.4083
35,má na,0.4083
36,je za,0.4083
37,Okamura za,0.4083
38,Učená společnost,0.4083
39,Pokud do,0.4083
40,křeče do,0.4083
41,do je,0.4083
42,se koná,0.4083
43,Sigmunda bude,0.4083
44,"uvedl, že",0.4083
45,Společnost Bühler,0.4083
46,Společnost Motor,0.4083
47,americké základny,0.4064
48,na území,0.4064
49,v rámci,0.4064
50,se na,0.4046
51,v Praze,0.4023
52,na v,0.4023
53,se s,0.4002
54,je v,0.3985
55,Sigmunda Freuda,0.3985
56,v o,0.3976
57,je na,0.3976
58,od roku,0.3932
59,americké protiraketové,0.3918
60,protiraketové základny,0.3918
61,základny v,0.3918
62,v Polsku,0.3918
63,druhé světové,0.3918
64,a na,0.3918
65,a Evropské,0.3918
66,a unie.,0.3918
67,mezi a,0.3915
68,v v,0.3911
69,méně než,0.3892
70,Umístění americké,0.3892
71,Umístění protiraketové,0.3892
72,Umístění základny,0.3892
73,Umístění v,0.3892
74,Umístění Polsku,0.3892
75,americké Polsku,0.3892
76,protiraketové Polsku,0.3892
77,základny Polsku,0.3892
78,než v,0.3892
79,o z,0.3892
80,kteří brutálně,0.3892
81,kteří zasáhli,0.3892
82,kteří proti,0.3892
83,kteří černošskému,0.3892
84,brutálně zasáhli,0.3892
85,brutálně proti,0.3892
86,brutálně černošskému,0.3892
87,zasáhli proti,0.3892
88,zasáhli černošskému,0.3892
89,proti černošskému,0.3892
90,zbraní hromadného,0.3892
91,zbraní ničení.,0.3892
92,proti na,0.3892
93,bude Polsku,0.3892
94,bude dodávat,0.3892
95,do roku,0.3892
96,Kvůli klesly,0.3892
97,Kvůli ceny,0.3892
98,dopadení klesly,0.3892
99,klesly ceny,0.3892
100,varoval před,0.3892
101,V Poděbradech,0.3892
102,roce Praze,0.3892
103,2008 Praze,0.3892
104,se k,0.3892
105,z Mladé,0.3892
106,Křeče z,0.3892
107,České se,0.3892
108,V byl,0.3892
109,Předseda SPD,0.3892
110,Předseda Tomio,0.3892
111,Předseda Okamura,0.3892
112,SPD Tomio,0.3892
113,SPD Okamura,0.3892
114,Tomio za,0.3892
115,po z,0.3892
116,za korun.,0.3892
117,Pokud hodiny,0.3892
118,"Pokud neustoupí,",0.3892
119,křeče hodiny,0.3892
120,"křeče neustoupí,",0.3892
121,do hodiny,0.3892
122,"do neustoupí,",0.3892
123,do nutno,0.3892
124,do volat,0.3892
125,"hodiny neustoupí,",0.3892
126,hodiny je,0.3892
127,hodiny nutno,0.3892
128,hodiny volat,0.3892
129,"neustoupí, je",0.3892
130,"neustoupí, nutno",0.3892
131,"neustoupí, volat",0.3892
132,je volat,0.3892
133,nutno volat,0.3892
134,je a,0.3892
135,objeví nutné,0.3892
136,křeče nutné,0.3892
137,z nutné,0.3892
138,"přehřátí, nutné",0.3892
139,je nutné,0.3892
140,dva miliony,0.3892
141,dva korun.,0.3892
142,miliony korun.,0.3892
143,Slavnostní odhalení,0.3892
144,Slavnostní sochy,0.3892
145,Slavnostní v,0.3892
146,odhalení v,0.3892
147,odhalení Praze,0.3892
148,Freuda bude,0.3892
149,na ČEZ,0.3892
150,Odboráři že,0.3892
151,Odboráři vláda,0.3892
152,Parcely firmy,0.3892
153,Parcely Nestlé,0.3892
154,Parcely v,0.3892
155,firmy Nestlé,0.3892
156,Nestlé v,0.3892
157,v společnost,0.3892
158,společnost Sekyra,0.3892
159,společnost Group.,0.3892
160,Sekyra Group.,0.3892
161,zoo kaloni,0.3892
162,kaloni zlatí.,0.3892
163,Návrh Evropské,0.3892
164,dohody Evropské,0.3892
165,zveřejnil Evropské,0.3892
166,Írán nepovažuje,0.3892
167,nepovažuje hrozbu,0.3892
168,nepovažuje útoku,0.3892
169,útoku pravděpodobnou.,0.3892
170,za pravděpodobnou.,0.3892
171,Dohoda bude,0.3892
172,Dohoda definovat,0.3892
173,Dohoda vztah,0.3892
174,bude definovat,0.3892
175,bude vztah,0.3892
176,definovat vztah,0.3892
177,definovat a,0.3892
178,z roku,0.3892
179,Bühler výrobní,0.3892
180,Motor výrobní,0.3892
181,90 miliónů,0.3892
182,Andrzej rakovinu.,0.3892
183,Žulawski rakovinu.,0.3892
184,aby v,0.3892
185,aby den,0.3892
186,v den,0.3892
187,Kanada Kjótského,0.3892
188,Kanada protokolu.,0.3892
189,Kjótského protokolu.,0.3892
190,Podle ministra,0.3892
191,Podle prostředí,0.3892
192,Podle Petera,0.3892
193,ministra životního,0.3892
194,ministra prostředí,0.3892
195,ministra Petera,0.3892
196,ministra Kenta,0.3892
197,životního Petera,0.3892
198,životního Kenta,0.3892
199,životního protokol,0.3892
200,prostředí Petera,0.3892
201,prostředí Kenta,0.3892
202,prostředí protokol,0.3892
203,prostředí o,0.3892
204,Petera Kenta,0.3892
205,Petera protokol,0.3892
206,Petera o,0.3892
207,Kenta protokol,0.3892
208,Kenta o,0.3892
209,Chomsky na,0.3892
210,ředitel plzeňské,0.3892
211,na metanolem,0.3892
212,metanolem lidí.,0.3892
213,Niedermayer do,0.3892
214,do Evropského,0.3892
215,V roce,0.3872
216,Pan Ki-mun,0.3869
217,o v,0.3856
218,americké v,0.3856
219,v z,0.3856
220,Evropské unie.,0.3856
221,V v,0.3848
222,více než,0.3834
223,v ČR,0.3759
224,Astrid Lindgrenová,0.3759
225,Hradci Králové.,0.3759
226,37 příznivců,0.3759
227,Předseda Donald,0.3759
228,Evropské rady,0.3759
229,rady Donald,0.3759
230,bitva u,0.3759
231,v Hradci,0.3752
232,v Králové.,0.3752
233,protiraketové v,0.3749
234,hromadného ničení.,0.3749
235,druhé války.,0.3749
236,světové války.,0.3749
237,firmy v,0.3749
238,v hlavním,0.3749
239,milionů korun.,0.3749
240,Tomio Okamura,0.3749
241,vztah a,0.3749
242,vztah Evropské,0.3749
243,na se,0.3749
244,Pokud křeče,0.3749
