,productivity,utility,coverage,harmonic_mean
v Praze,0.4552,0.1219,0.0256,0.0483
V roce,0.5229,0.1895,0.0197,0.0375
více než,0.715,0.3817,0.0188,0.0365
Andrzej Žulawski,0.5167,0.1833,0.0167,0.0321
v roce,0.5755,0.2421,0.0162,0.0314
Epopej byla,0.65,0.3167,0.0137,0.0267
se v,0.5533,0.22,0.0137,0.0265
svatých pomocníků,0.7,0.3667,0.0128,0.0251
v Polsku,0.4667,0.1333,0.012,0.0233
8 března,0.8,0.4667,0.0111,0.0219
Žulawski zemřel,0.5067,0.1733,0.0111,0.0216
Jaroslav Kaczyński,0.8667,0.5333,0.0103,0.0202
zemřel na,0.6333,0.3,0.0103,0.0201
čtrnácti svatých,0.9,0.5667,0.0098,0.0194
minimálně šestnáct,0.9,0.5667,0.0098,0.0194
Bulharsku se,0.9,0.5667,0.0098,0.0194
se bude,0.9333,0.6,0.0094,0.0186
u Ořechova,0.76,0.4267,0.0094,0.0184
životního prostředí,0.76,0.46,0.0094,0.0184
Fremach Morava,0.6,0.2667,0.0094,0.0184
roce 2008,0.6583,0.325,0.0094,0.0184
Kaczyński je,0.9667,0.6333,0.009,0.0178
Ve městě,0.9667,0.6333,0.009,0.0178
Sigmunda Freuda,0.85,0.5167,0.009,0.0177
polský režisér,0.6833,0.35,0.009,0.0176
režisér Andrzej,0.6833,0.35,0.009,0.0176
Oceňovaný polský,0.6833,0.35,0.009,0.0176
poprvé vystavena,0.6167,0.2833,0.009,0.0176
byla poprvé,0.6167,0.2833,0.009,0.0176
od roku,0.6767,0.3767,0.009,0.0176
Hladina řeky,1.0,0.6667,0.0085,0.0169
Pavel II,0.7333,0.4,0.0085,0.0168
Jan Pavel,0.7333,0.4,0.0085,0.0168
energetická firma,0.6333,0.3,0.0085,0.0167
Česká energetická,0.6333,0.3,0.0085,0.0167
Saddáma Husajna,0.6667,0.3333,0.0085,0.0167
v rámci,0.7667,0.4667,0.0081,0.016
Tomio Okamura,0.75,0.4167,0.0081,0.016
Odvolací soud,0.6167,0.2833,0.0081,0.016
ArcelorMittal Ostrava,0.75,0.4167,0.0081,0.0159
zemřel ve,0.6833,0.35,0.0081,0.0159
na rakovinu,0.6167,0.2833,0.0081,0.0159
Hlavní město,0.6167,0.2833,0.0081,0.0159
plavecké federace,0.65,0.3167,0.0081,0.0159
na území,0.6667,0.4,0.0077,0.0152
Václav Havel,0.7667,0.4333,0.0077,0.0151
chce koupit,0.7,0.3667,0.0077,0.0151
Gymnasta Martin,0.7,0.3667,0.0077,0.0151
České republice,0.7,0.3667,0.0077,0.0151
Martin Konečný,0.7,0.3667,0.0077,0.0151
Kocianovo kvarteto,0.6667,0.3333,0.0077,0.0151
V horku,0.7833,0.45,0.0073,0.0143
horku hrozí,0.7833,0.45,0.0073,0.0143
Britský premiér,0.7167,0.3833,0.0073,0.0143
ve Francii,0.65,0.3167,0.0073,0.0143
v ČR,0.5417,0.3083,0.0073,0.0143
