,Cue,DCI
0,v,0.6308
1,na,0.5818
2,a,0.5696
3,se,0.5691
4,V,0.5374
5,je,0.5357
6,z,0.5316
7,za,0.5111
8,s,0.4932
9,o,0.4927
10,bude,0.4796
11,korun,0.4724
12,má,0.4724
13,hlavním,0.4668
14,do,0.4639
15,roce,0.4594
16,ve,0.4546
17,k,0.4529
18,Evropské,0.4503
19,křeče,0.4502
20,od,0.4488
21,roku,0.448
22,byl,0.4387
23,USA,0.4369
24,byla,0.4359
25,než,0.4312
26,Polsku,0.4288
27,že,0.4285
28,ČR,0.4258
29,americké,0.4255
30,městě,0.4255
31,OSN,0.4248
32,Na,0.4244
33,90,0.4238
34,1992,0.4238
35,Evropě,0.4238
36,Když,0.4238
37,objeví,0.4238
38,"přehřátí,",0.4238
39,firmy,0.4206
40,České,0.4195
41,války,0.4192
42,pro,0.4181
43,mezi,0.4171
44,proti,0.4163
45,zemřel,0.4156
46,u,0.4154
47,premiér,0.4142
48,Praze,0.414
49,chce,0.4112
50,Podle,0.4111
51,prezident,0.4101
52,Předseda,0.4088
53,Sigmunda,0.4088
54,Freuda,0.4088
55,větší,0.4083
56,černošskému,0.4083
57,organismu,0.4083
58,likvidaci,0.4083
59,Učená,0.4083
60,pouze,0.4083
61,ČEZ,0.4083
62,koná,0.4083
63,dva,0.4083
64,Nestlé,0.4083
65,"uvedl,",0.4083
66,evropské,0.4083
67,Společnost,0.4083
68,NATO,0.4077
69,let,0.4077
70,základny,0.4064
71,území,0.4064
72,útoku,0.4064
73,Iráku,0.4064
74,rámci,0.4064
75,Dohoda,0.4064
76,dubna,0.4046
77,Írán,0.4028
78,jsou,0.4021
79,společnost,0.4002
80,kraji,0.4002
81,přes,0.3976
82,bylo,0.3976
83,příznivců,0.3976
84,rady,0.3976
85,lidí,0.3976
86,při,0.3947
87,ze,0.3935
88,prostředí,0.3932
89,Žulawski,0.3929
90,méně,0.3918
91,protiraketové,0.3918
92,hromadného,0.3918
93,světové,0.3918
94,zabavila,0.3918
95,elektrárny,0.3918
96,vězení,0.3918
97,aby,0.3918
98,horku,0.3918
99,1989,0.3918
100,Bühler,0.3918
101,Motor,0.3918
102,Zurich,0.3918
103,Santander,0.3918
104,Česku,0.3915
105,Astrid,0.3915
106,Donald,0.3915
107,Tusk,0.3915
108,vojenskými,0.3892
109,Umístění,0.3892
110,katolické,0.3892
111,Třebíči,0.3892
112,vědec,0.3892
113,problémy,0.3892
114,brutálně,0.3892
115,zasáhli,0.3892
116,státu,0.3892
117,dohodu,0.3892
118,klesly,0.3892
119,státě,0.3892
120,poznamenány,0.3892
121,Mezinárodní,0.3892
122,jednání,0.3892
123,varoval,0.3892
124,Mladé,0.3892
125,Boleslavi,0.3892
126,výroky,0.3892
127,10000,0.3892
128,téměř,0.3892
129,ani,0.3892
130,zemí,0.3892
131,letos,0.3892
132,hodiny,0.3892
133,"neustoupí,",0.3892
134,volat,0.3892
135,dále,0.3892
136,nutné,0.3892
137,států,0.3892
138,potřeba,0.3892
139,celkem,0.3892
140,kontinentu,0.3892
141,2020,0.3892
142,miliony,0.3892
143,Slavnostní,0.3892
144,kandidovat,0.3892
145,pražské,0.3892
146,Irácký,0.3892
147,Parcely,0.3892
148,Sekyra,0.3892
149,Group,0.3892
150,jihlavské,0.3892
151,získá,0.3892
152,čerpat,0.3892
153,peníze,0.3892
154,nepovažuje,0.3892
155,pravděpodobnou,0.3892
156,definovat,0.3892
157,bývalého,0.3892
158,výrobní,0.3892
159,halu,0.3892
160,miliónů,0.3892
161,Kjótského,0.3892
162,Petera,0.3892
163,Kenta,0.3892
164,Evropského,0.3892
165,cena,0.3892
166,podporu,0.3869
167,unie,0.3869
168,Králové,0.3869
169,Pan,0.3869
170,Ki-mun,0.3869
171,bitva,0.3869
172,Andrzej,0.3863
173,Kvůli,0.3856
174,počet,0.3856
175,druhé,0.3856
176,Jiří,0.3856
177,už,0.3856
178,metanolem,0.3856
179,před,0.384
180,životního,0.3839
181,více,0.3834
182,divadlo,0.3832
183,dnes,0.3832
184,Česká,0.3795
185,země,0.3781
186,kokainu,0.3759
187,kouření,0.3759
188,i,0.3759
189,Lindgrenová,0.3759
190,Hradci,0.3759
191,37,0.3759
192,tajemník,0.3759
193,15,0.3759
194,Odboráři,0.3759
195,sochy,0.3759
196,Ministr,0.3759
197,Chomsky,0.3759
198,které,0.375
199,Polska,0.3749
200,ničení,0.3749
201,podpoří,0.3749
202,dodávat,0.3749
203,dvě,0.3749
204,podle,0.3749
205,nebude,0.3749
206,20,0.3749
207,měla,0.3749
208,odmítl,0.3749
209,SPD,0.3749
210,Tomio,0.3749
211,Okamura,0.3749
212,Ruzyně,0.3749
213,zemřelo,0.3749
214,Pokud,0.3749
215,zoo,0.3749
216,zlatí,0.3749
217,získalo,0.3749
218,kteří,0.3716
219,zbraní,0.3716
220,stále,0.3716
221,volbách,0.3716
222,parlamentu,0.3716
223,stát,0.3716
224,Muslimského,0.3716
225,bratrstva,0.3716
226,vedení,0.3716
227,Generální,0.3716
228,zveřejnil,0.3716
229,500,0.3716
230,obchod,0.3716
231,obrany,0.3716
232,Kanada,0.3716
233,Bývalý,0.3715
234,Václav,0.3715
235,cenu,0.3715
236,poprvé,0.3715
237,trest,0.3664
238,první,0.3655
239,své,0.3655
240,souhlasí,0.3652
241,Irák,0.3652
242,největší,0.3652
243,státního,0.3652
244,si,0.3652
245,vztahy,0.3652
246,přehřátí,0.3652
247,Přehlídka,0.3652
248,Petr,0.3652
249,šestnáctka,0.3652
250,nového,0.3652
251,města,0.3652
252,kubánský,0.3652
253,zboží,0.3652
254,Ivaščenka,0.3652
255,Prezident,0.3648
256,prezidenta,0.3648
257,%,0.3638
258,Poláků,0.3638
259,objem,0.3638
260,bojkotu,0.3638
261,církve,0.3638
262,hlavou,0.3638
263,synagogu,0.3638
264,nedaří,0.3638
265,množství,0.3638
266,Mexická,0.3638
267,finančně,0.3638
268,Přibližně,0.3638
269,hlasovalo,0.3638
270,regionu,0.3638
271,Rozsudek,0.3638
272,prupuštění,0.3638
273,policistů,0.3638
274,motorkáři,0.3638
275,Rodneymu,0.3638
276,"Kingovi,",0.3638
277,padl,0.3638
278,29,0.3638
279,občanů,0.3638
280,závislosti,0.3638
281,čeká,0.3638
282,pražském,0.3638
283,gruzínský,0.3638
284,zakázaný,0.3638
285,vstup,0.3638
286,Ukrajiny,0.3638
287,Polsko,0.3638
288,tom,0.3638
289,patří,0.3638
290,odmítli,0.3638
291,útokem,0.3638
292,plynu,0.3638
293,nižší,0.3638
294,Trump,0.3638
295,prezidentských,0.3638
296,miliardy,0.3638
297,afroamerickému,0.3638
298,Tamaulipas,0.3638
299,asijským,0.3638
300,sousedům,0.3638
301,vyjádřil,0.3638
302,Armáda,0.3638
303,souzený,0.3638
304,kanceláři,0.3638
305,zemi,0.3638
306,středních,0.3638
307,firem,0.3638
308,Kuděla,0.3638
309,Někdejší,0.3638
310,předávání,0.3638
311,cen,0.3638
312,osob,0.3638
313,horkém,0.3638
314,počasí,0.3638
315,Kroměříže,0.3638
316,Švédka,0.3638
317,nezemřel,0.3638
318,generální,0.3638
319,Blixe,0.3638
320,neplní,0.3638
321,závazky,0.3638
322,proběhlo,0.3638
323,českých,0.3638
324,být,0.3638
325,kandidaturu,0.3638
326,neměla,0.3638
327,lékaři,0.3638
328,krizovou,0.3638
329,kritizován,0.3638
330,existuje,0.3638
331,peněz,0.3638
332,Lindgrenové,0.3638
333,hotelu,0.3638
334,vysoké,0.3638
335,pokuty,0.3638
336,údajně,0.3638
337,nevyvážené,0.3638
338,pozici,0.3638
339,ozbrojenců,0.3638
340,slovenského,0.3638
341,politika,0.3638
342,vyhnul,0.3638
343,válečné,0.3638
344,jednom,0.3638
345,Americké,0.3638
346,přivítali,0.3638
347,transportérů,0.3638
348,Autor,0.3638
349,audiovizuálních,0.3638
350,instalací,0.3638
351,vystavuje,0.3638
352,Lidovci,0.3638
353,odvolání,0.3638
354,Tomia,0.3638
355,Okamury,0.3638
356,pozice,0.3638
357,místopředsedy,0.3638
358,Sněmovny,0.3638
359,vznikla,0.3638
360,škoda,0.3638
361,"2,4",0.3638
362,Evropou,0.3638
363,Během,0.3638
364,nikdy,0.3638
365,"tom,",0.3638
366,proběhne,0.3638
367,rekonstrukce,0.3638
368,"nádraží,",0.3638
369,Holešovicích,0.3638
370,pandy,0.3638
371,čele,0.3638
372,1235,0.3638
373,vojáků,0.3638
374,aktivitě,0.3638
375,objevují,0.3638
376,organizace,0.3638
377,filmařů,0.3638
378,Brněnské,0.3638
379,šestnáctky,0.3638
380,filmy,0.3638
381,odehrála,0.3638
382,pohraniční,0.3638
383,stráž,0.3638
384,disponovat,0.3638
385,poblíž,0.3638
386,oproti,0.3638
387,členů,0.3638
388,kontrakt,0.3638
389,teď,0.3638
390,úpadku,0.3638
391,rozhodlo,0.3638
392,či,0.3638
393,válečných,0.3638
394,někdo,0.3638
395,jiný,0.3638
396,druhém,0.3638
397,referendum,0.3638
398,literární,0.3638
399,zmizeli,0.3638
400,šéfa,0.3638
401,Tuniska,0.3638
402,víno,0.3638
403,snadněji,0.3638
404,dotace,0.3638
405,uvedl,0.3638
406,čerpání,0.3638
407,fondů,0.3638
408,slavnost,0.3638
409,pivo,0.3638
410,sochař,0.3638
411,Kladno,0.3638
412,Tradice,0.3638
413,alegorických,0.3638
414,Československu,0.3638
415,letů,0.3638
416,Bahamského,0.3638
417,společenství,0.3638
418,studenty,0.3638
419,dobře,0.3638
420,zbraněmi,0.3638
421,představitelé,0.3638
422,diváci,0.3638
423,čtvrt,0.3638
424,liberijský,0.3638
425,předseda,0.3638
426,ústupky,0.3638
427,Marathon,0.3638
428,Sport,0.3638
429,Expo,0.3638
430,1841,0.3638
431,Zbraňový,0.3638
432,systém,0.3638
433,použití,0.3638
