,Cue,DCI
0,v,0.6702
1,z,0.6121
2,na,0.5836
3,##u,0.5836
4,za,0.5825
5,##y,0.5807
6,se,0.5696
7,a,0.5657
8,",",0.5648
9,##í,0.5631
10,##m,0.5571
11,##ě,0.5499
12,##ů,0.5497
13,V,0.5465
14,##a,0.5384
15,je,0.5367
16,##ře,0.5256
17,##t,0.5226
18,##ci,0.5173
19,ne,0.5141
20,do,0.5127
21,od,0.5126
22,##o,0.5056
23,##i,0.5055
24,##em,0.5048
25,př,0.5024
26,ob,0.5013
27,po,0.4995
28,##ý,0.4993
29,s,0.4966
30,před,0.4963
31,k,0.4957
32,##ní,0.4944
33,o,0.4916
34,##ř,0.4886
35,##ské,0.488
36,##é,0.4861
37,##ch,0.4848
38,##un,0.4834
39,pro,0.483
40,##k,0.4822
41,kor,0.4821
42,##ký,0.4821
43,##v,0.482
44,##e,0.4804
45,bude,0.4796
46,##l,0.4773
47,Pol,0.4772
48,##cké,0.4757
49,##vro,0.4736
50,##ří,0.4728
51,má,0.4724
52,proti,0.4711
53,##ps,0.4709
54,##ho,0.4707
55,B,0.4706
56,sou,0.47
57,##p,0.4699
58,pl,0.4693
59,E,0.4688
60,##ák,0.4684
61,při,0.4681
62,##ž,0.4681
63,hlavním,0.4668
64,##po,0.4655
65,Ko,0.4638
66,##ský,0.4633
67,##mí,0.4628
68,##át,0.4611
69,##ká,0.4605
70,.,0.4605
71,##ké,0.4599
72,##ny,0.4595
73,roce,0.4594
74,K,0.4594
75,##va,0.4582
76,##kého,0.4581
77,##ís,0.4577
78,vo,0.4577
79,ve,0.457
80,##á,0.457
81,##st,0.4563
82,ná,0.4559
83,##ců,0.4557
84,##mi,0.4545
85,roku,0.4538
86,##r,0.4528
87,##ba,0.4527
88,let,0.4524
89,Ir,0.4524
90,##áv,0.4519
91,hr,0.4513
92,##li,0.4507
93,š,0.4499
94,u,0.4485
95,USA,0.4482
96,##ole,0.4482
97,##ání,0.4474
98,##ová,0.4474
99,##ér,0.4472
100,##dě,0.4466
101,##vat,0.4458
102,##sku,0.4453
103,##ou,0.4453
104,pod,0.445
105,##ka,0.4449
106,##z,0.4445
107,P,0.4443
108,##ce,0.444
109,##íz,0.4427
110,##vá,0.4425
111,##lad,0.4421
112,út,0.4408
113,Č,0.4406
114,##n,0.4406
115,##lo,0.4404
116,##ěl,0.4404
117,če,0.4404
118,hl,0.4398
119,##ď,0.4396
120,##ěn,0.4395
121,##ná,0.4394
122,##tě,0.439
123,##yn,0.4388
124,byl,0.4387
125,ro,0.4377
126,##če,0.4359
127,byla,0.4359
128,##ni,0.4358
129,zemřel,0.4358
130,l,0.4348
131,##ýr,0.4348
132,##eto,0.4341
133,##ové,0.4329
134,Ž,0.4328
135,##ky,0.4313
136,že,0.4312
137,než,0.4312
138,M,0.4309
139,##bran,0.4307
140,##nol,0.4307
141,ho,0.4306
142,b,0.4306
143,##ly,0.4306
144,mil,0.4306
145,##ob,0.4306
146,OS,0.4301
147,##N,0.4301
148,##ické,0.4301
149,##edit,0.4297
150,prezident,0.4288
151,ko,0.428
152,##jí,0.4273
153,##vě,0.4268
154,##oz,0.4263
155,R,0.426
156,Před,0.426
157,ČR,0.4258
158,##je,0.4258
159,##še,0.4258
160,os,0.4258
161,##rán,0.4257
162,americké,0.4255
163,městě,0.4255
164,##seda,0.4252
165,Od,0.4248
166,Na,0.4244
167,##ýval,0.4242
168,##vo,0.4241
169,větší,0.4238
170,Při,0.4238
171,90,0.4238
172,1992,0.4238
173,##žské,0.4238
174,##tup,0.4238
175,Evropě,0.4238
176,Když,0.4238
177,##čnost,0.4238
178,##ogi,0.4238
179,##ň,0.4237
180,kon,0.4237
181,##h,0.4234
182,##sí,0.4233
183,S,0.4233
184,##al,0.422
185,##vil,0.422
186,##ského,0.4209
187,##jen,0.4208
188,ví,0.4208
189,pr,0.4208
190,##up,0.4208
191,##ého,0.4208
192,##s,0.4206
193,firmy,0.4206
194,Freud,0.4195
195,České,0.4195
196,##vé,0.4192
197,vol,0.4192
198,války,0.4192
199,##běh,0.4192
200,##ad,0.4189
201,premi,0.4188
202,Praze,0.4188
203,pra,0.4173
204,NATO,0.4173
205,##ku,0.4172
206,podporu,0.4171
207,ev,0.4171
208,##rop,0.4171
209,##ác,0.4171
210,##jev,0.4171
211,mezi,0.4171
212,##hl,0.4171
213,so,0.4171
214,##ra,0.4165
215,##ření,0.4163
216,##val,0.4159
217,zm,0.4159
218,Donald,0.4159
219,##vy,0.4147
220,##uz,0.4142
221,##ží,0.4142
222,##pr,0.4142
223,##wski,0.4142
224,##bo,0.4134
225,##vu,0.4133
226,##vání,0.412
227,##ři,0.4117
228,Š,0.4117
229,##řed,0.4117
230,##č,0.4113
231,chce,0.4112
232,Podle,0.4111
233,##Z,0.4107
234,##zta,0.4107
235,Í,0.4107
236,##d,0.4106
237,život,0.4104
238,##rá,0.4103
239,##av,0.4102
240,tr,0.4101
241,t,0.4101
242,druhé,0.4101
243,##znam,0.4101
244,sp,0.4101
245,##šť,0.4101
246,nav,0.41
247,I,0.41
248,##str,0.41
249,##ula,0.409
250,##cí,0.4088
251,##dr,0.4088
252,##ěž,0.4088
253,##kra,0.4088
254,##sto,0.4088
