,productivity,utility,coverage,harmonic_mean
v,0.3651,0.0318,0.4192,0.3896
z,0.4277,0.0944,0.1846,0.2571
V,0.399,0.0656,0.156,0.2222
se,0.3966,0.0633,0.1509,0.2179
##y,0.4216,0.0882,0.1466,0.2166
na,0.4394,0.1061,0.1359,0.207
##u,0.4635,0.1302,0.1321,0.2048
za,0.4364,0.1031,0.1158,0.1827
",",0.4375,0.1042,0.1111,0.1757
##m,0.4589,0.1256,0.1064,0.172
je,0.3905,0.0572,0.1038,0.1632
##í,0.5002,0.1669,0.0966,0.1616
a,0.5119,0.1786,0.0863,0.147
po,0.417,0.0837,0.0859,0.1415
##ě,0.4801,0.1468,0.0812,0.1384
##a,0.436,0.1026,0.0816,0.1367
pro,0.4374,0.104,0.0791,0.133
##ů,0.5092,0.1759,0.0748,0.1299
##t,0.4451,0.1118,0.0714,0.1219
do,0.4435,0.1102,0.0705,0.121
o,0.4291,0.0957,0.0709,0.121
##ch,0.4534,0.1201,0.0692,0.119
##ho,0.4584,0.125,0.0688,0.1183
##ý,0.4268,0.0934,0.0671,0.1156
od,0.4674,0.1341,0.0654,0.114
ne,0.6128,0.2794,0.0628,0.1134
s,0.4583,0.1249,0.0632,0.1102
##ní,0.4784,0.145,0.0603,0.1061
##ře,0.5384,0.2051,0.059,0.1059
při,0.5494,0.2161,0.059,0.1056
##o,0.4259,0.0926,0.0603,0.1052
ob,0.4677,0.1344,0.0581,0.1029
##ř,0.4543,0.121,0.0564,0.0998
##ná,0.5244,0.1911,0.0547,0.098
##i,0.4773,0.144,0.0547,0.0974
##z,0.5132,0.1799,0.0534,0.0956
k,0.4453,0.112,0.053,0.0944
u,0.4321,0.0988,0.0513,0.0911
E,0.4357,0.1024,0.0487,0.0875
##á,0.4327,0.0993,0.0483,0.0859
.,0.4439,0.1106,0.0466,0.0839
kon,0.5115,0.1782,0.0444,0.0812
ve,0.4297,0.0964,0.0449,0.081
roce,0.4361,0.1028,0.0444,0.0804
Ko,0.464,0.1307,0.0444,0.0802
před,0.4777,0.1443,0.0436,0.0796
##e,0.4487,0.1153,0.0427,0.0779
##r,0.4884,0.155,0.0397,0.0732
##ké,0.4512,0.1179,0.0397,0.0728
##v,0.5547,0.2214,0.0389,0.0722
př,0.5337,0.2004,0.038,0.0703
než,0.4943,0.1609,0.038,0.0702
##ku,0.5124,0.1791,0.038,0.0698
bude,0.5166,0.1833,0.0372,0.0693
##át,0.5234,0.19,0.0368,0.0684
B,0.449,0.1157,0.0372,0.0684
##ký,0.5583,0.225,0.0363,0.068
##ci,0.6179,0.2846,0.0363,0.0679
##li,0.4854,0.152,0.0368,0.0678
##ky,0.5373,0.2039,0.0363,0.0667
##vy,0.4906,0.1573,0.0359,0.0664
##bí,0.6595,0.3262,0.0333,0.0631
že,0.5085,0.1752,0.0338,0.0629
##st,0.5076,0.1742,0.0338,0.0627
##h,0.5341,0.2008,0.0333,0.0625
##l,0.593,0.2597,0.0333,0.0622
##é,0.4649,0.1316,0.0329,0.0612
O,0.448,0.1147,0.0325,0.0605
##va,0.4411,0.1077,0.0321,0.0594
K,0.5386,0.2052,0.0312,0.0589
pod,0.5149,0.1816,0.0312,0.0585
##av,0.6011,0.2678,0.0312,0.0583
jsou,0.721,0.3877,0.0303,0.058
zemřel,0.4986,0.1652,0.0308,0.0578
##ce,0.4566,0.1233,0.0308,0.0572
##ra,0.6204,0.2871,0.0303,0.0572
##ád,0.4767,0.1434,0.0308,0.0572
##ět,0.4872,0.1539,0.0308,0.057
byla,0.4805,0.1471,0.0299,0.0561
##em,0.6521,0.3187,0.0291,0.0553
##cí,0.6108,0.2775,0.0291,0.0551
##nu,0.4859,0.1525,0.0286,0.0539
##ň,0.5032,0.1699,0.0286,0.0539
##dá,0.4707,0.1374,0.0286,0.0538
##rá,0.5281,0.1948,0.0282,0.0532
##ni,0.5206,0.1873,0.0282,0.053
##vě,0.4825,0.1492,0.0282,0.0529
##ka,0.5274,0.194,0.0282,0.0528
##ně,0.4857,0.1524,0.0274,0.0517
Ir,0.5352,0.2019,0.0269,0.0512
proti,0.5659,0.2326,0.0269,0.0511
##na,0.6716,0.3383,0.0265,0.0506
##p,0.575,0.2417,0.0265,0.0504
T,0.679,0.3457,0.0261,0.05
sou,0.4883,0.1549,0.0265,0.05
Podle,0.5417,0.2084,0.0261,0.0494
##k,0.6622,0.3289,0.0256,0.0488
##če,0.5894,0.256,0.0256,0.0488
-,0.5154,0.182,0.0256,0.0486
##mě,0.5588,0.2254,0.0256,0.0486
##ny,0.5274,0.1941,0.0256,0.0486
##mí,0.6642,0.3309,0.0252,0.0485
##ský,0.5122,0.1788,0.0256,0.0485
##vá,0.6419,0.3086,0.0252,0.0484
##ovat,0.4886,0.1553,0.0256,0.0483
##kého,0.5205,0.1871,0.0252,0.0479
oz,0.5524,0.219,0.0248,0.0473
##N,0.5538,0.2205,0.0248,0.047
OS,0.5538,0.2205,0.0248,0.047
##la,0.7248,0.3914,0.0244,0.0469
##ňuje,0.7248,0.3914,0.0244,0.0469
##čí,0.5579,0.2245,0.0248,0.0469
##sku,0.6087,0.2753,0.0244,0.0465
##j,0.5575,0.2242,0.0244,0.0463
##ského,0.5138,0.1805,0.0244,0.0463
##ské,0.6726,0.3393,0.0239,0.046
##po,0.6386,0.3052,0.0239,0.0458
##áv,0.6095,0.2762,0.0239,0.0458
Na,0.4062,0.0729,0.0244,0.0458
##lí,0.5704,0.237,0.0239,0.0455
##vý,0.4956,0.1622,0.0239,0.0455
Praze,0.5042,0.1708,0.0239,0.0452
##ák,0.6754,0.342,0.0235,0.0451
##ců,0.6151,0.2817,0.0235,0.0449
##ž,0.596,0.2627,0.0235,0.0448
##ká,0.55,0.2167,0.0231,0.0441
d,0.4771,0.1438,0.0231,0.0439
##ření,0.5868,0.2534,0.0231,0.0439
##tě,0.5592,0.2258,0.0226,0.0433
##ér,0.5587,0.2254,0.0226,0.0433
ro,0.5758,0.2425,0.0226,0.0432
hr,0.5957,0.2624,0.0222,0.0427
více,0.6083,0.275,0.0222,0.0424
Ka,0.64,0.3067,0.0222,0.0423
##vro,0.6664,0.3331,0.0218,0.0421
##ová,0.6717,0.3383,0.0218,0.0421
##ej,0.6029,0.2695,0.0218,0.0419
premi,0.5138,0.1805,0.0218,0.0416
Pol,0.5942,0.2608,0.0214,0.0411
##pe,0.6407,0.3074,0.0214,0.041
š,0.531,0.1976,0.0214,0.0409
##d,0.5295,0.1962,0.0214,0.0405
##pop,0.62,0.2867,0.0209,0.0404
ú,0.6479,0.3145,0.0209,0.0403
prezident,0.5567,0.2233,0.0209,0.0402
kor,0.7555,0.4221,0.0205,0.0397
##ís,0.6975,0.3642,0.0205,0.0396
##ří,0.6581,0.3248,0.0205,0.0395
S,0.5606,0.2273,0.0205,0.0394
##vo,0.5662,0.2329,0.0205,0.0393
##ne,0.48,0.1467,0.0205,0.0393
##řel,0.613,0.2796,0.0205,0.0392
##c,0.4889,0.1556,0.0205,0.0392
šest,0.54,0.2067,0.0205,0.0391
