,Cue,DCI
0,je,0.5967
1,v,0.5686
2,byl,0.5281
3,se,0.4991
4,na,0.4912
5,a,0.478
6,ve,0.4662
7,roce,0.4584
8,byla,0.4581
9,má,0.4354
10,není,0.4319
11,z,0.4317
12,s,0.4313
13,pouze,0.4275
14,filmu,0.4161
15,film,0.4126
16,hrál,0.4122
17,jako,0.4107
18,pro,0.3985
19,za,0.3954
20,V,0.3932
21,The,0.3928
22,získal,0.3908
23,do,0.3834
24,narodil,0.3782
25,hraje,0.3779
26,hrála,0.3763
27,člověk,0.3762
28,jsou,0.3744
29,nebyl,0.3719
30,cenu,0.3693
31,měl,0.3688
32,roku,0.3688
33,americký,0.3684
34,album,0.3659
35,od,0.3613
36,of,0.3599
37,Spojených,0.359
38,který,0.3586
39,pracoval,0.3577
40,John,0.3555
41,získala,0.3522
42,o,0.3496
43,herec,0.3487
44,roli,0.3483
45,Existuje,0.3476
46,objevil,0.3451
47,bylo,0.3439
48,zahrnuje,0.3419
49,jen,0.3391
50,televizní,0.3384
51,napsal,0.3371
52,měla,0.3362
53,David,0.3361
54,která,0.3357
55,vyhrál,0.335
56,režíroval,0.3347
57,států,0.3344
58,vydal,0.3336
59,hlavní,0.3335
60,nikdy,0.3333
61,po,0.3329
62,Michael,0.3328
63,herečka,0.3319
64,schopen,0.3318
65,více,0.3316
66,ze,0.3314
67,George,0.3305
68,jedná,0.33
69,let,0.329
70,propuštěn,0.3281
71,hvězdy,0.3267
72,alespoň,0.3267
73,letech,0.3266
74,než,0.3266
75,názvem,0.3261
76,světě,0.3243
77,herce,0.3237
78,New,0.3237
79,také,0.323
80,být,0.3226
81,výhradně,0.3225
82,filmech,0.3221
83,jméno,0.3217
84,vytvořil,0.3213
85,obsahuje,0.3212
86,k,0.3208
87,narodila,0.32
88,členem,0.3193
89,nemá,0.3189
90,součástí,0.3185
91,Tom,0.3183
92,odmítl,0.3175
93,zemřel,0.3165
94,století,0.3163
95,Award,0.3163
96,James,0.3156
97,ceny,0.3149
98,show,0.3146
99,nominován,0.3142
100,první,0.3136
101,objevila,0.3131
102,své,0.313
103,město,0.313
104,ocenění,0.3127
105,2016,0.3126
106,Kapoor,0.3122
107,Paul,0.312
108,(film),0.312
109,které,0.3104
110,jménem,0.3101
111,the,0.3099
112,nebyla,0.3091
113,státech,0.3082
114,skupina,0.3077
115,jeho,0.307
116,Chris,0.3068
117,milionů,0.3067
118,Američan,0.3062
119,nejlepší,0.3057
120,2,0.3056
121,několik,0.304
122,Black,0.3036
123,známý,0.3036
124,Richard,0.3033
125,země,0.3031
126,může,0.303
127,ještě,0.3023
128,2015,0.3022
129,byly,0.3015
130,Star,0.3009
131,seriálu,0.3003
132,20,0.2998
133,katolík,0.2997
134,svou,0.2988
135,J,0.2987
136,Emmy,0.2987
137,premiéru,0.2986
138,nulové,0.2977
139,spolupracoval,0.2977
140,série,0.2977
141,Jennifer,0.2976
142,narození,0.2975
143,žádné,0.2974
144,největší,0.2973
145,založil,0.2972
146,společností,0.2962
147,Oscara,0.2961
148,zpěvák,0.2957
149,F.C,0.2953
150,Lee,0.2949
151,herečku,0.2949
152,dvě,0.2947
153,nominaci,0.2945
154,musí,0.2945
155,Robert,0.2943
156,společnost,0.2942
157,kromě,0.2941
158,postava,0.2941
159,postavu,0.2941
160,jednal,0.2936
161,II,0.2934
162,2014,0.2933
163,společnosti,0.2933
164,mají,0.2931
165,zahrnují,0.293
166,tři,0.2929
167,2011,0.2928
168,Martin,0.2928
169,americká,0.2927
170,pochází,0.2927
171,3,0.2926
172,vždy,0.2924
173,nachází,0.2924
174,školu,0.2921
175,uveden,0.292
176,Akademie,0.2915
177,umělec,0.2912
178,Tim,0.2909
179,americké,0.2902
180,Anglie,0.2899
181,Frank,0.2896
182,Jones,0.2894
183,obsazení,0.289
184,hudební,0.2887
185,píseň,0.2886
186,2013,0.2886
187,místo,0.2883
188,Taylor,0.2876
189,2012,0.2876
190,William,0.2875
191,dolarů,0.2874
192,byli,0.2871
193,kariéru,0.2868
194,seriál,0.2867
195,and,0.2867
196,televizi,0.2866
197,pracuje,0.2865
198,Anne,0.2864
199,založen,0.286
200,USA,0.2859
201,profesionální,0.2855
202,Spojené,0.2853
203,Williams,0.2852
204,přes,0.2851
205,Michelle,0.2849
206,Jedním,0.2846
207,2009,0.2846
208,nominována,0.2846
209,jedním,0.2846
210,Jr,0.2841
211,nejméně,0.284
212,odmítá,0.2837
213,mezi,0.2836
214,mnoho,0.2834
215,2010,0.2832
216,stal,0.2832
217,nic,0.2831
218,obdržela,0.283
219,zemí,0.2828
220,amerického,0.2827
221,Jackson,0.2826
222,Na,0.2826
223,alba,0.2825
224,One,0.2825
225,čtyři,0.2824
226,psa,0.2821
227,Ameriky,0.282
228,Love,0.2819
229,založena,0.2819
230,Jižní,0.2818
231,televizním,0.2816
232,hry,0.2816
233,"člověk,",0.2816
234,pracovala,0.2814
235,odmítla,0.2813
236,Gift,0.2812
237,režisér,0.2812
238,Kennedy,0.2812
239,Americe,0.2811
240,že,0.2807
241,První,0.2807
242,vydala,0.2807
243,Steve,0.2802
244,Jane,0.2796
245,Společnost,0.2795
246,de,0.2794
247,vegan,0.279
248,lidí,0.279
249,skupiny,0.2789
250,Will,0.2789
251,během,0.2788
252,buddhista,0.2788
253,Yorku,0.2787
254,komediální,0.2785
255,&,0.2783
256,to,0.2782
257,nebo,0.2782
258,2008,0.2782
259,Mark,0.2781
260,Mike,0.2781
261,oblasti,0.2777
262,americkém,0.2776
263,2005,0.2775
264,před,0.2772
265,Jeff,0.2772
266,království,0.2772
267,alb,0.2772
268,září,0.2768
269,Emily,0.2768
270,hrát,0.2767
271,zpěvačka,0.2766
272,známá,0.2766
273,Steven,0.2761
274,vítězem,0.2757
275,Elizabeth,0.2756
276,Wyatt,0.2755
277,patří,0.2755
278,Marlon,0.2754
279,vegetarián,0.2754
280,Kalifornii,0.2754
281,American,0.2753
282,mimo,0.2751
283,Zlatý,0.2751
284,si,0.275
285,představuje,0.2749
286,"osoba,",0.2749
287,Jim,0.2748
288,u,0.2748
289,Earp,0.2748
290,Severní,0.2747
291,umění,0.2746
292,několika,0.2746
