,productivity,utility,coverage,harmonic_mean
je,0.3469,0.0136,0.2653,0.3007
v,0.3462,0.0128,0.2115,0.2625
byl,0.3731,0.0397,0.1131,0.1736
se,0.369,0.0356,0.0986,0.1556
na,0.3604,0.027,0.0832,0.1351
roce,0.4357,0.1023,0.064,0.1115
a,0.3937,0.0604,0.0568,0.0993
ve,0.4028,0.0694,0.0505,0.0897
byla,0.3701,0.0368,0.0495,0.0873
z,0.3446,0.0112,0.0383,0.069
s,0.3887,0.0553,0.0368,0.0673
má,0.3941,0.0608,0.0322,0.0595
jako,0.3706,0.0373,0.026,0.0486
film,0.4114,0.0781,0.0253,0.0477
není,0.906,0.5727,0.0241,0.047
pouze,0.8805,0.5471,0.0227,0.0442
filmu,0.4456,0.1122,0.0228,0.0435
pro,0.4119,0.0786,0.0224,0.0424
The,0.3516,0.0183,0.0218,0.0411
za,0.3735,0.0402,0.0207,0.0392
hrál,0.4369,0.1036,0.0195,0.0373
narodil,0.4474,0.1141,0.0194,0.0372
do,0.3422,0.0089,0.0192,0.0363
roku,0.3671,0.0338,0.0158,0.0302
od,0.3897,0.0564,0.0155,0.0298
jsou,0.3787,0.0454,0.0151,0.0291
V,0.4971,0.1637,0.0145,0.0282
hraje,0.4697,0.1363,0.0132,0.0256
of,0.3428,0.0095,0.0132,0.0254
album,0.4055,0.0721,0.0128,0.0249
získal,0.4914,0.1581,0.0126,0.0246
měl,0.398,0.0647,0.0121,0.0235
cenu,0.4245,0.0912,0.0118,0.023
John,0.3532,0.0199,0.0116,0.0224
o,0.4299,0.0965,0.0113,0.022
Spojených,0.4384,0.1051,0.0103,0.0201
který,0.4004,0.067,0.0102,0.0199
televizní,0.4171,0.0838,0.0101,0.0198
bylo,0.3456,0.0122,0.01,0.0195
nebyl,0.907,0.5737,0.0098,0.0193
hrála,0.483,0.1496,0.0095,0.0186
americký,0.5028,0.1695,0.0093,0.0182
po,0.381,0.0477,0.009,0.0176
pracoval,0.5188,0.1855,0.0089,0.0174
režíroval,0.3554,0.0221,0.0088,0.0172
roli,0.4122,0.0788,0.0087,0.017
než,0.4568,0.1234,0.0085,0.0168
let,0.3761,0.0428,0.0084,0.0165
napsal,0.4656,0.1323,0.0084,0.0164
být,0.7215,0.3882,0.0081,0.016
David,0.3605,0.0272,0.0079,0.0155
propuštěn,0.374,0.0407,0.0078,0.0153
George,0.3537,0.0204,0.0078,0.0153
Michael,0.3603,0.027,0.0076,0.015
zemřel,0.5419,0.2085,0.0075,0.0149
získala,0.4695,0.1362,0.0073,0.0143
New,0.3551,0.0218,0.0072,0.0141
narodila,0.45,0.1167,0.007,0.0139
show,0.4215,0.0882,0.0069,0.0135
herec,0.5118,0.1785,0.0068,0.0134
ze,0.3934,0.06,0.0068,0.0134
objevil,0.4553,0.122,0.0068,0.0133
světě,0.3574,0.0241,0.0068,0.0133
vydal,0.4098,0.0764,0.0067,0.0133
k,0.3519,0.0185,0.0067,0.0132
která,0.4234,0.0901,0.0066,0.0131
států,0.4457,0.1124,0.0066,0.013
měla,0.4166,0.0832,0.0066,0.013
letech,0.3865,0.0532,0.0066,0.0129
zahrnuje,0.4341,0.1008,0.0065,0.0127
hlavní,0.4035,0.0702,0.0064,0.0126
první,0.3762,0.0429,0.0063,0.0123
své,0.3899,0.0565,0.0062,0.0122
vyhrál,0.4451,0.1118,0.0061,0.012
(film),0.3746,0.0413,0.006,0.0119
James,0.3623,0.029,0.006,0.0119
jméno,0.3968,0.0635,0.006,0.0119
nikdy,0.8715,0.5381,0.006,0.0118
filmech,0.3944,0.061,0.0059,0.0116
2,0.4254,0.092,0.0058,0.0113
the,0.3625,0.0292,0.0057,0.0112
město,0.4852,0.1519,0.0056,0.0111
Tom,0.3825,0.0492,0.0056,0.011
více,0.4612,0.1279,0.0054,0.0108
jen,0.8967,0.5634,0.0054,0.0107
členem,0.3985,0.0652,0.0053,0.0106
hvězdy,0.533,0.1996,0.0053,0.0105
Paul,0.3548,0.0215,0.0053,0.0104
ceny,0.4046,0.0713,0.0052,0.0102
herce,0.4241,0.0907,0.0051,0.0101
součástí,0.412,0.0787,0.0051,0.01
herečka,0.5177,0.1844,0.005,0.0098
2016,0.3993,0.066,0.0049,0.0098
schopen,0.9018,0.5685,0.0048,0.0096
nemá,0.8746,0.5413,0.0048,0.0096
vytvořil,0.4834,0.1501,0.0048,0.0095
obsahuje,0.4335,0.1002,0.0048,0.0095
svou,0.4208,0.0875,0.0048,0.0094
Black,0.3852,0.0519,0.0047,0.0094
století,0.4329,0.0996,0.0047,0.0094
nominován,0.4019,0.0685,0.0047,0.0093
Chris,0.4163,0.0829,0.0047,0.0092
také,0.431,0.0976,0.0046,0.0092
milionů,0.3778,0.0445,0.0046,0.0091
jeho,0.3723,0.039,0.0046,0.009
2015,0.3713,0.038,0.0046,0.009
Award,0.4212,0.0879,0.0045,0.0089
názvem,0.4962,0.1629,0.0043,0.0085
série,0.3742,0.0408,0.0043,0.0085
Star,0.3571,0.0238,0.0043,0.0084
premiéru,0.4232,0.0899,0.0043,0.0084
které,0.398,0.0647,0.0043,0.0084
3,0.3664,0.0331,0.0042,0.0084
nejlepší,0.3995,0.0661,0.0042,0.0083
výhradně,0.8552,0.5218,0.0042,0.0083
státech,0.4294,0.0961,0.0042,0.0083
byly,0.3578,0.0245,0.0042,0.0082
člověk,0.8112,0.4779,0.0041,0.0081
J,0.3667,0.0334,0.0041,0.0081
Richard,0.4092,0.0758,0.0041,0.0081
F.C,0.4437,0.1103,0.0041,0.008
známý,0.3965,0.0632,0.0041,0.008
2011,0.3754,0.042,0.004,0.008
společností,0.3543,0.021,0.004,0.008
objevila,0.4434,0.11,0.004,0.008
největší,0.4184,0.085,0.004,0.008
20,0.379,0.0456,0.004,0.0079
odmítl,0.8819,0.5486,0.004,0.0079
Lee,0.4145,0.0812,0.004,0.0079
II,0.4244,0.091,0.004,0.0079
kariéru,0.4499,0.1166,0.0039,0.0076
Jennifer,0.3705,0.0372,0.0038,0.0076
založen,0.4235,0.0901,0.0038,0.0076
Američan,0.4532,0.1199,0.0038,0.0076
ocenění,0.4684,0.135,0.0038,0.0076
Emmy,0.3927,0.0594,0.0038,0.0075
společnosti,0.3928,0.0594,0.0038,0.0075
nachází,0.398,0.0647,0.0037,0.0074
americké,0.3479,0.0145,0.0037,0.0074
před,0.566,0.2327,0.0037,0.0073
nebyla,0.8798,0.5465,0.0036,0.0073
Robert,0.3796,0.0463,0.0037,0.0073
2014,0.3866,0.0533,0.0037,0.0072
jménem,0.4838,0.1505,0.0036,0.0072
2012,0.363,0.0297,0.0036,0.0072
skupina,0.4819,0.1486,0.0036,0.0071
2010,0.4162,0.0828,0.0036,0.007
zpěvák,0.3993,0.066,0.0036,0.007
postava,0.4036,0.0702,0.0035,0.007
seriálu,0.4013,0.068,0.0035,0.007
2013,0.3677,0.0343,0.0035,0.007
založena,0.4593,0.126,0.0035,0.0069
společnost,0.3765,0.0432,0.0035,0.0069
Martin,0.3711,0.0378,0.0035,0.0069
Tim,0.414,0.0807,0.0035,0.0068
tři,0.4202,0.0869,0.0034,0.0068
seriál,0.3985,0.0652,0.0034,0.0068
Akademie,0.3883,0.055,0.0034,0.0068
země,0.4691,0.1357,0.0034,0.0068
uveden,0.3889,0.0556,0.0034,0.0067
dolarů,0.3664,0.0331,0.0034,0.0067
žádné,0.8606,0.5272,0.0033,0.0066
pochází,0.4584,0.1251,0.0033,0.0066
byli,0.364,0.0307,0.0033,0.0065
píseň,0.3836,0.0502,0.0033,0.0065
Jones,0.3733,0.0399,0.0033,0.0065
Jižní,0.3609,0.0276,0.0032,0.0064
hudební,0.3628,0.0295,0.0032,0.0064
svůj,0.5196,0.1863,0.0032,0.0064
Anne,0.3555,0.0221,0.0032,0.0063
mezi,0.3551,0.0218,0.0032,0.0063
během,0.3811,0.0478,0.0032,0.0063
hrát,0.7333,0.4,0.0032,0.0063
and,0.4083,0.075,0.0032,0.0063
Frank,0.3823,0.049,0.0032,0.0063
Anglie,0.4037,0.0704,0.0031,0.0063
Jackson,0.3561,0.0228,0.0031,0.0062
založil,0.4149,0.0816,0.0031,0.0062
že,0.3684,0.0351,0.0031,0.0062
nejméně,0.4009,0.0675,0.0031,0.0061
První,0.4004,0.067,0.0031,0.0061
dvě,0.4229,0.0895,0.0031,0.0061
Americe,0.3491,0.0157,0.0031,0.0061
2009,0.3538,0.0205,0.0031,0.0061
Jr,0.3542,0.0209,0.0031,0.0061
Oscara,0.445,0.1117,0.0031,0.0061
americká,0.4299,0.0966,0.003,0.006
profesionální,0.3671,0.0337,0.003,0.006
zemí,0.4525,0.1192,0.003,0.006
de,0.4119,0.0785,0.003,0.006
Taylor,0.4086,0.0752,0.003,0.0059
2005,0.3912,0.0578,0.003,0.0059
alba,0.4268,0.0935,0.003,0.0059
školu,0.5919,0.2585,0.0029,0.0058
září,0.4354,0.1021,0.0029,0.0058
zahrnují,0.4247,0.0913,0.0029,0.0058
Společnost,0.3526,0.0193,0.0029,0.0058
2017,0.4534,0.12,0.0029,0.0058
mimo,0.7386,0.4053,0.0029,0.0058
Spojené,0.3847,0.0514,0.0029,0.0057
One,0.3877,0.0543,0.0029,0.0057
začal,0.3638,0.0305,0.0029,0.0057
až,0.4751,0.1417,0.0029,0.0057
Love,0.3764,0.043,0.0029,0.0057
Steve,0.3582,0.0249,0.0029,0.0057
může,0.4719,0.1386,0.0028,0.0056
Yorku,0.4507,0.1174,0.0028,0.0056
William,0.403,0.0697,0.0028,0.0056
pracuje,0.4302,0.0968,0.0028,0.0055
hry,0.3849,0.0516,0.0028,0.0055
Mike,0.3612,0.0279,0.0028,0.0055
několik,0.4857,0.1524,0.0028,0.0055
