,Cue,DCI
0,##́,0.6914
1,[UNK],0.6846
2,je,0.5975
3,v,0.5913
4,byl,0.5281
5,##a,0.52
6,##y,0.5115
7,se,0.5111
8,na,0.5097
9,##m,0.5007
10,",",0.4925
11,##l,0.4862
12,##i,0.4794
13,a,0.478
14,.,0.4722
15,ve,0.4682
16,##u,0.4677
17,##ch,0.4675
18,za,0.4635
19,##ni,0.4611
20,##e,0.4585
21,roce,0.4585
22,byla,0.4582
23,z,0.4556
24,s,0.4482
25,##n,0.4477
26,hra,0.447
27,film,0.4426
28,##la,0.4416
29,nen,0.4372
30,ma,0.4355
31,##ska,0.4317
32,##va,0.4282
33,pouze,0.4275
34,##ho,0.4271
35,pro,0.4259
36,##na,0.4244
37,##ce,0.4232
38,ob,0.4217
39,am,0.4216
40,zi,0.4214
41,##eri,0.4213
42,##ci,0.4209
43,##vi,0.4204
44,filmu,0.4194
45,##em,0.4153
46,-,0.4133
47,jako,0.4106
48,##t,0.4104
49,kt,0.4099
50,##ova,0.4073
51,V,0.4036
52,),0.3997
53,(,0.3996
54,narodil,0.3986
55,The,0.3982
56,##cky,0.3971
57,do,0.3945
58,##lni,0.394
59,od,0.3916
60,##ove,0.3849
61,tele,0.3846
62,##s,0.3845
63,##ky,0.3843
64,##ojen,0.383
65,Sp,0.3824
66,j,0.3819
67,##ny,0.3815
68,po,0.3815
69,##vni,0.3809
70,u,0.3806
71,hraje,0.3779
72,##ka,0.3778
73,##zni,0.3758
74,##k,0.3751
75,##ra,0.3751
76,jsou,0.3744
77,nebyl,0.3731
78,pracoval,0.3718
79,##me,0.3714
80,hl,0.3709
81,cenu,0.3696
82,album,0.3692
83,##nu,0.3691
84,##ovy,0.3689
85,roku,0.3688
86,##jevil,0.3667
87,##ke,0.3662
88,##ne,0.3656
89,kr,0.3654
90,##o,0.3653
91,ne,0.3651
92,##no,0.3646
93,##mi,0.3639
94,of,0.363
95,herec,0.3628
96,##zi,0.3626
97,##ji,0.3619
98,##ery,0.3618
99,sta,0.3607
100,o,0.3602
101,##ou,0.3602
102,##cke,0.3602
103,:,0.3592
104,##sa,0.358
105,John,0.3573
106,hu,0.3569
107,G,0.3562
108,##hra,0.3558
109,##ha,0.3535
110,roli,0.353
111,##vy,0.3521
112,posta,0.352
113,##avni,0.3516
114,##de,0.3496
115,##ske,0.3486
116,zna,0.3478
117,seria,0.347
118,##nova,0.347
119,##ru,0.3458
120,##c,0.3453
121,her,0.3451
122,##ick,0.3448
123,##dni,0.3444
124,nomi,0.3441
125,##r,0.3439
126,bylo,0.3439
127,##era,0.3438
128,jedna,0.3436
129,##bni,0.3436
130,Ex,0.3436
131,##ys,0.3435
132,##sky,0.3432
133,pr,0.3431
134,S,0.343
135,',0.3424
136,napsal,0.342
137,zahrnuje,0.342
138,##ie,0.3417
139,let,0.3402
140,##ist,0.3396
141,##zen,0.3393
142,jen,0.3391
143,##hr,0.3383
144,mi,0.3381
145,vi,0.338
146,Na,0.338
147,##ere,0.337
148,##uje,0.3369
149,scho,0.3368
150,vydal,0.3368
151,David,0.3367
152,##rodni,0.3367
153,##le,0.3361
154,Michael,0.3359
155,pra,0.3358
156,ze,0.3354
157,by,0.3354
158,filme,0.3352
159,va,0.3346
160,F,0.3341
161,R,0.3339
162,lid,0.3338
163,sve,0.3337
164,##lu,0.3337
165,pod,0.3336
166,##h,0.3336
167,nikdy,0.3333
168,spolu,0.3332
169,##da,0.3331
170,##my,0.333
171,##ma,0.3327
172,##zo,0.3318
173,George,0.3317
174,C,0.3315
175,##je,0.3313
176,Amer,0.3312
177,##ty,0.3307
178,##yda,0.3301
179,K,0.3294
180,pop,0.3289
181,##zve,0.3272
182,si,0.3271
183,##ve,0.327
184,letech,0.327
185,##st,0.327
186,##lov,0.3266
187,komedi,0.3266
188,##kou,0.3259
189,James,0.3259
190,Z,0.3258
191,##rie,0.3256
192,##oval,0.3256
193,nulo,0.3253
194,##nem,0.325
195,A,0.3249
196,k,0.3248
197,Man,0.3245
198,New,0.3243
199,Ve,0.3237
200,##on,0.3234
201,take,0.3232
202,Tom,0.3231
203,##ovou,0.3229
204,ty,0.3228
205,nema,0.3228
206,##pi,0.3225
207,##lo,0.3221
208,##bi,0.322
209,Paul,0.3216
210,##leti,0.3215
211,obsahuje,0.3212
212,##chod,0.3212
213,##z,0.3211
214,##ly,0.3206
215,St,0.3203
216,sto,0.3202
217,##vu,0.3198
218,rock,0.3197
219,veg,0.3196
220,produk,0.3196
221,2016,0.3195
222,##lie,0.3192
223,fotbal,0.319
224,##li,0.3189
225,J,0.3189
226,##znam,0.3188
227,##man,0.3186
228,##ta,0.3183
229,nomina,0.3182
230,show,0.3182
231,nar,0.3181
232,Se,0.3181
233,##by,0.3175
234,M,0.3173
235,sp,0.3173
236,ro,0.317
237,##d,0.3168
238,Richard,0.3168
239,##ku,0.3167
240,Award,0.3166
241,##ona,0.3164
242,##tu,0.3159
243,##ozen,0.3155
244,##ze,0.3153
245,ceny,0.3151
246,2,0.315
247,##pen,0.3149
248,U,0.3146
249,Kapoor,0.3144
250,kat,0.3144
251,I,0.3143
252,poc,0.3143
253,W,0.3136
254,the,0.3128
255,##tech,0.3127
256,kon,0.3127
257,mezi,0.3126
258,sl,0.3125
259,Pr,0.3125
260,Star,0.3125
261,Za,0.3121
262,##nie,0.3121
263,di,0.3117
264,##di,0.3117
265,ps,0.3116
266,zemi,0.3114
267,##po,0.3113
268,skupina,0.3112
269,rom,0.311
270,##tl,0.3108
271,##rni,0.3106
272,##sta,0.3105
273,##j,0.3102
274,Ko,0.31
275,de,0.31
276,Black,0.3099
277,Chris,0.3098
278,2015,0.3096
279,##cka,0.3096
280,##za,0.3094
281,##sto,0.3093
282,nebyla,0.3091
283,sou,0.309
284,##lk,0.3089
285,##er,0.3083
286,##v,0.3081
287,##nii,0.308
288,##for,0.308
289,„,0.3078
290,H,0.3076
291,##val,0.3076
292,O,0.3073
293,jeho,0.3071
294,##pracoval,0.3065
295,premi,0.3058
296,##ti,0.3058
297,##in,0.3057
298,D,0.3056
299,3,0.3056
300,debut,0.3052
301,La,0.305
302,prezident,0.305
303,##sko,0.3048
304,##meno,0.3043
305,##mu,0.3042
306,prof,0.3042
307,Ang,0.3041
308,Dr,0.304
309,##ula,0.3036
310,producent,0.3036
311,##esi,0.3033
312,kom,0.3031
313,kar,0.3029
314,Kali,0.3026
315,20,0.3026
316,##pad,0.3025
317,Jones,0.3022
318,byly,0.3015
319,##cem,0.3015
320,##al,0.3012
321,2014,0.3011
322,Emmy,0.3006
323,##ym,0.3002
324,brit,0.3
325,jazyk,0.2995
326,sk,0.2995
327,Lee,0.2994
328,##ba,0.2994
329,ho,0.2994
330,##oli,0.2991
331,druh,0.2989
332,Robert,0.2989
333,E,0.2989
334,##ry,0.2988
335,nah,0.2988
336,svou,0.2988
337,Ne,0.2986
338,##ro,0.2981
339,Po,0.2979
340,##ice,0.2979
341,Lo,0.2977
342,Jennifer,0.2976
343,Oscara,0.2974
344,##zov,0.2973
345,##hy,0.2973
346,##uj,0.2973
347,2011,0.2972
348,2012,0.2972
349,re,0.2972
350,##ds,0.2971
351,Martin,0.297
352,De,0.297
353,nach,0.2969
354,T,0.2968
355,os,0.2967
356,##veden,0.2964
357,host,0.2962
358,##zy,0.2961
359,drama,0.2958
360,##zem,0.2958
361,dramatic,0.2958
362,Williams,0.2956
363,##lka,0.2954
364,jin,0.2954
365,##yr,0.2953
366,Ben,0.2953
367,pa,0.2952
368,Bu,0.2952
369,Taylor,0.2951
370,2013,0.2951
371,##re,0.295
372,maji,0.2949
373,musi,0.2949
374,Sc,0.2949
375,II,0.2949
376,Frank,0.2947
377,##yst,0.2947
378,##berg,0.2946
379,##uz,0.2944
380,##ovi,0.2944
381,nap,0.2944
382,alb,0.2941
383,uz,0.2939
384,##mov,0.2935
385,##ver,0.2934
386,g,0.2934
387,ko,0.2934
388,P,0.2933
389,dva,0.2932
390,##lem,0.2932
391,##an,0.2931
392,aka,0.2931
393,Ni,0.293
394,Br,0.293
395,Jack,0.2928
396,sporto,0.2921
397,Akademie,0.2921
398,milion,0.2921
399,Jackson,0.2921
400,##noval,0.292
401,Fe,0.2918
402,Tim,0.2916
403,sv,0.2915
404,Da,0.2912
405,st,0.2911
406,osoba,0.2911
407,vlast,0.291
408,spisovatel,0.291
409,##te,0.2909
410,B,0.2908
411,ce,0.2907
412,Sha,0.2907
413,##sku,0.2905
414,Pa,0.2903
415,##der,0.2899
416,Kennedy,0.2899
417,##il,0.2898
418,Je,0.2897
419,Ka,0.2897
420,2010,0.2896
421,2008,0.2895
422,Brit,0.2893
423,William,0.2892
424,2009,0.289
425,##tni,0.2889
426,##ia,0.2889
427,##klad,0.2887
428,vel,0.2886
429,Con,0.2886
430,performer,0.2885
431,1,0.2885
432,USA,0.2885
433,Mezi,0.2885
434,cele,0.2885
435,No,0.2884
436,##kon,0.2884
437,##dy,0.2883
438,##ton,0.2881
439,Co,0.2881
440,div,0.2881
441,in,0.288
442,##vern,0.288
443,byli,0.288
444,kana,0.2879
445,##jen,0.2879
446,Me,0.2877
447,##ing,0.2875
448,Anne,0.2875
449,One,0.2874
450,##vou,0.2873
451,Steven,0.2871
452,##ey,0.2871
453,##nost,0.287
454,##ii,0.287
455,to,0.2868
456,##vala,0.2867
457,##nou,0.2867
458,##koli,0.2867
459,and,0.2867
460,Di,0.2866
461,##ham,0.2866
462,pracuje,0.2865
463,Li,0.2865
464,##ech,0.2865
465,Ga,0.2864
466,dos,0.2863
467,##ko,0.2861
468,##ita,0.2861
469,##en,0.286
470,ned,0.2859
471,##yl,0.2859
472,##rp,0.2857
473,stal,0.2856
474,&,0.2855
475,Boston,0.2853
476,##icky,0.285
477,Ra,0.285
478,Michelle,0.2849
479,Kr,0.2848
480,##tro,0.2848
481,2005,0.2847
482,str,0.2847
483,ml,0.2846
484,so,0.2845
485,Jr,0.2844
486,Ea,0.2844
487,Wood,0.2844
488,alba,0.2843
489,2007,0.2843
490,mnoho,0.2842
491,Bill,0.2841
492,Love,0.284
493,rok,0.2839
494,Charles,0.2838
495,Pe,0.2837
496,op,0.2836
497,oblasti,0.2835
498,##iky,0.2835
499,Ce,0.2834
500,##ovala,0.2833
501,studio,0.2832
502,##rt,0.2832
503,##lat,0.2832
504,osob,0.2829
505,##ic,0.2829
506,Spider,0.2828
507,nic,0.2827
508,Fox,0.2827
509,##do,0.2826
510,##rii,0.2825
511,##ckou,0.2825
512,##ej,0.2824
513,##vs,0.2824
514,Brand,0.2824
515,##rop,0.2823
516,titul,0.2823
517,##bu,0.2823
518,Jane,0.2822
519,L,0.282
520,bu,0.2819
521,##sle,0.2818
522,##du,0.2818
523,##pra,0.2818
524,Ho,0.2817
525,hry,0.2815
526,Gift,0.2812
527,Scott,0.2811
528,##ine,0.2809
529,skupiny,0.2809
530,Le,0.2807
531,vydala,0.2807
532,##son,0.2807
533,angl,0.2807
534,4,0.2804
535,Tony,0.2803
536,Steve,0.2802
537,Jim,0.2801
538,York,0.28
539,Mark,0.28
540,##kra,0.2799
541,Will,0.2799
542,Jeff,0.2799
543,Th,0.2798
544,##etaria,0.2798
545,In,0.2797
546,aktiv,0.2797
547,Jon,0.2796
548,Mo,0.2796
