,productivity,utility,coverage,harmonic_mean
##́,0.3378,0.0045,0.6659,0.4482
[UNK],0.3389,0.0056,0.6321,0.4412
je,0.3455,0.0121,0.2682,0.302
v,0.3495,0.0162,0.265,0.3015
##a,0.3485,0.0152,0.1219,0.1806
byl,0.3715,0.0382,0.1131,0.1735
se,0.3662,0.0329,0.1125,0.1721
##y,0.3496,0.0162,0.1065,0.1633
na,0.3594,0.0261,0.1022,0.1591
##i,0.459,0.1257,0.0892,0.1494
##m,0.3502,0.0168,0.0933,0.1474
.,0.3749,0.0416,0.068,0.1151
##l,0.3841,0.0508,0.0667,0.1137
roce,0.4357,0.1024,0.0639,0.1115
",",0.3901,0.0568,0.0629,0.1083
##u,0.3651,0.0318,0.0632,0.1078
##ni,0.3432,0.0099,0.0596,0.1015
a,0.3971,0.0637,0.0566,0.099
##ch,0.3737,0.0403,0.057,0.099
za,0.3528,0.0195,0.0568,0.0978
##e,0.3413,0.0079,0.0565,0.0969
ve,0.4027,0.0694,0.0524,0.0927
z,0.3486,0.0152,0.0526,0.0915
byla,0.3732,0.0398,0.0495,0.0874
##n,0.3647,0.0313,0.049,0.0864
s,0.3866,0.0532,0.0464,0.0828
film,0.3751,0.0418,0.0419,0.0754
##t,0.5358,0.2024,0.0378,0.0706
##la,0.3768,0.0435,0.0385,0.0699
hra,0.4037,0.0703,0.037,0.0678
##ho,0.3696,0.0363,0.0367,0.0668
##va,0.3597,0.0263,0.0362,0.0658
pro,0.4004,0.067,0.034,0.0626
##na,0.366,0.0327,0.0341,0.0623
ma,0.3918,0.0584,0.0328,0.0605
##ska,0.401,0.0677,0.0326,0.0603
##vi,0.3448,0.0115,0.0328,0.0599
##ci,0.367,0.0337,0.0304,0.0561
##ce,0.3743,0.041,0.0301,0.0558
ob,0.3719,0.0385,0.03,0.0556
##em,0.3859,0.0526,0.0297,0.0551
od,0.5282,0.1949,0.0289,0.0549
-,0.3442,0.0109,0.0292,0.0538
##ova,0.3475,0.0142,0.0288,0.0532
nen,0.9022,0.5689,0.0265,0.0514
narodil,0.4528,0.1195,0.0264,0.0498
am,0.414,0.0806,0.0264,0.0496
##eri,0.4127,0.0794,0.0263,0.0495
jako,0.3707,0.0373,0.0263,0.0492
filmu,0.4492,0.1158,0.0243,0.046
The,0.3522,0.0189,0.0236,0.0442
pouze,0.8803,0.547,0.0227,0.0442
),0.4117,0.0783,0.023,0.0436
(,0.4119,0.0786,0.023,0.0435
zi,0.453,0.1196,0.0227,0.0433
do,0.3418,0.0085,0.0228,0.0427
kt,0.4114,0.078,0.0224,0.0424
##lni,0.3572,0.0238,0.0214,0.0404
##ky,0.3921,0.0588,0.0201,0.0382
tele,0.3468,0.0135,0.0197,0.0372
##ny,0.3492,0.0159,0.0194,0.0367
##mi,0.5507,0.2174,0.0189,0.0366
V,0.4564,0.1231,0.019,0.0364
##vni,0.3488,0.0155,0.0192,0.0364
##ove,0.3561,0.0227,0.0192,0.0364
po,0.3574,0.024,0.0191,0.0363
##s,0.3409,0.0076,0.019,0.0361
##ra,0.3718,0.0385,0.0184,0.0351
##ka,0.3767,0.0434,0.0183,0.0349
##zni,0.3478,0.0145,0.0176,0.0335
##cky,0.4457,0.1124,0.0172,0.0332
ne,0.7316,0.3983,0.0167,0.0327
j,0.3873,0.0539,0.0168,0.0323
u,0.3634,0.0301,0.0167,0.0319
##ojen,0.4041,0.0707,0.0165,0.0317
Sp,0.4048,0.0715,0.0163,0.0314
##k,0.3956,0.0622,0.0163,0.0313
roku,0.3633,0.03,0.0159,0.0305
##ovy,0.3695,0.0362,0.0154,0.0295
jsou,0.3864,0.0531,0.0153,0.0295
##zi,0.391,0.0577,0.0151,0.029
##hra,0.4176,0.0843,0.0146,0.0283
kr,0.3855,0.0522,0.0146,0.0281
##me,0.3803,0.047,0.0144,0.0278
##ke,0.4212,0.0879,0.0144,0.0278
##nu,0.3637,0.0304,0.0143,0.0275
hl,0.3739,0.0406,0.0141,0.0272
##ne,0.3628,0.0294,0.014,0.0269
of,0.3399,0.0066,0.0138,0.0266
o,0.4047,0.0714,0.0137,0.0266
##vy,0.4257,0.0924,0.0136,0.0264
##o,0.3574,0.024,0.0137,0.0263
album,0.4027,0.0693,0.0136,0.0263
hraje,0.4666,0.1333,0.0134,0.026
##ou,0.3507,0.0173,0.0135,0.0259
sta,0.3828,0.0495,0.0134,0.0259
##no,0.3595,0.0261,0.0133,0.0257
:,0.3637,0.0304,0.0125,0.0241
##jevil,0.4067,0.0734,0.0122,0.0237
##ji,0.3742,0.0409,0.0122,0.0237
cenu,0.4219,0.0885,0.012,0.0232
John,0.3541,0.0208,0.0119,0.0231
by,0.5863,0.2529,0.0117,0.0229
##cke,0.385,0.0517,0.0118,0.0228
G,0.3497,0.0164,0.0118,0.0228
##sa,0.3651,0.0318,0.0116,0.0225
##ske,0.3502,0.0169,0.0113,0.0218
pracoval,0.5154,0.1821,0.0111,0.0217
##ha,0.397,0.0637,0.0111,0.0217
##sky,0.3824,0.0491,0.0111,0.0215
##ru,0.3868,0.0535,0.011,0.0214
hu,0.3892,0.0559,0.0108,0.021
##ery,0.4018,0.0685,0.0108,0.021
##ys,0.3979,0.0646,0.0105,0.0205
roli,0.3781,0.0447,0.0105,0.0204
##r,0.3741,0.0407,0.0104,0.0203
pr,0.3535,0.0202,0.0104,0.0203
##ie,0.4218,0.0885,0.0104,0.0202
nebyl,0.9036,0.5703,0.0102,0.0202
zna,0.3559,0.0226,0.0103,0.0201
##de,0.3534,0.0201,0.0103,0.02
bylo,0.3451,0.0118,0.0101,0.0196
seria,0.3542,0.0209,0.01,0.0194
posta,0.3876,0.0542,0.0099,0.0194
herec,0.4705,0.1372,0.0099,0.0193
##avni,0.3912,0.0579,0.0097,0.019
let,0.3584,0.0251,0.0097,0.0189
##ick,0.3618,0.0285,0.0096,0.0187
##c,0.357,0.0237,0.0096,0.0186
S,0.3476,0.0143,0.0095,0.0185
##ve,0.4837,0.1503,0.0094,0.0185
her,0.3863,0.053,0.0092,0.018
sve,0.3846,0.0513,0.0092,0.0179
napsal,0.4605,0.1272,0.009,0.0176
##da,0.3664,0.033,0.009,0.0175
##bni,0.3708,0.0375,0.0089,0.0173
##le,0.3539,0.0206,0.0088,0.0172
##je,0.37,0.0366,0.0088,0.0172
##nova,0.4024,0.069,0.0086,0.0169
R,0.3656,0.0322,0.0087,0.0169
##dni,0.3907,0.0574,0.0084,0.0164
##zo,0.3498,0.0165,0.0084,0.0164
',0.3812,0.0479,0.0084,0.0164
F,0.3937,0.0604,0.0082,0.0162
va,0.3578,0.0245,0.0082,0.016
filme,0.3883,0.055,0.0082,0.016
##ty,0.3482,0.0149,0.0081,0.0158
David,0.3591,0.0258,0.0081,0.0158
Michael,0.3584,0.025,0.0081,0.0158
##era,0.3968,0.0635,0.008,0.0158
Na,0.3727,0.0394,0.008,0.0156
George,0.3449,0.0116,0.008,0.0155
scho,0.8256,0.4923,0.0078,0.0155
##yda,0.4053,0.0719,0.0079,0.0155
##ta,0.4522,0.1189,0.0078,0.0154
nomi,0.4233,0.09,0.0078,0.0154
##rodni,0.3798,0.0465,0.0078,0.0153
##lov,0.3672,0.0339,0.0078,0.0152
##ma,0.3771,0.0438,0.0077,0.0152
James,0.3524,0.0191,0.0077,0.0151
lid,0.3638,0.0305,0.0077,0.015
mi,0.3888,0.0555,0.0077,0.015
##h,0.364,0.0307,0.0077,0.015
##zen,0.408,0.0747,0.0076,0.015
C,0.3755,0.0421,0.0076,0.015
